EntityType,ID,ParentID,Latitude,Longitude,NumDownstreamBuildings
SubstationTransformer,SST01,,14.66,121.05,
PolePadTransformer,PPT001,SST01,14.619888,121.085915,14
PolePadTransformer,PPT002,SST01,14.68422,121.061795,12
PolePadTransformer,PPT003,SST01,14.629904,121.000796,14
PolePadTransformer,PPT004,SST01,14.696604,121.025241,15
PolePadTransformer,PPT005,SST01,14.631373,121.061157,12
PolePadTransformer,PPT006,SST01,14.684164,121.026226,15
PolePadTransformer,PPT007,SST01,14.612596,121.007472,11
PolePadTransformer,PPT008,SST01,14.673375,121.091187,11
PolePadTransformer,PPT009,SST01,14.689992,121.039,12
PolePadTransformer,PPT010,SST01,14.638608,121.095017,12
PolePadTransformer,PPT011,SST01,14.647364,121.01716,13
PolePadTransformer,PPT012,SST01,14.667556,121.020186,10
PolePadTransformer,PPT013,SST01,14.619038,121.07912,13
PolePadTransformer,PPT014,SST01,14.702167,121.064704,15
PolePadTransformer,PPT015,SST01,14.67857,121.069635,10
PolePadTransformer,PPT016,SST01,14.719992,121.04451,12
PolePadTransformer,PPT017,SST01,14.694517,121.041513,12
PolePadTransformer,PPT018,SST01,14.640111,121.062148,14
PolePadTransformer,PPT019,SST01,14.645805,121.003336,11
PolePadTransformer,PPT020,SST01,14.605677,121.016692,10
PolePadTransformer,PPT021,SST01,14.717435,121.074389,11
PolePadTransformer,PPT022,SST01,14.600017,121.043521,10
PolePadTransformer,PPT023,SST01,14.692123,121.091833,13
PolePadTransformer,PPT024,SST01,14.658925,121.093896,13
PolePadTransformer,PPT025,SST01,14.690036,121.004396,12
PolePadTransformer,PPT026,SST01,14.626221,121.023847,14
PolePadTransformer,PPT027,SST01,14.605161,121.051005,10
PolePadTransformer,PPT028,SST01,14.600931,121.002889,12
PolePadTransformer,PPT029,SST01,14.634454,121.096802,14
PolePadTransformer,PPT030,SST01,14.685443,121.061809,10
PolePadTransformer,PPT031,SST01,14.71058,121.034455,14
PolePadTransformer,PPT032,SST01,14.623099,121.014012,14
PolePadTransformer,PPT033,SST01,14.658507,121.093727,14
PolePadTransformer,PPT034,SST01,14.622251,121.00177,10
PolePadTransformer,PPT035,SST01,14.628425,121.003641,12
PolePadTransformer,PPT036,SST01,14.679195,121.024865,12
PolePadTransformer,PPT037,SST01,14.622592,121.060059,14
PolePadTransformer,PPT038,SST01,14.630673,121.058554,12
PolePadTransformer,PPT039,SST01,14.698155,121.088163,14
PolePadTransformer,PPT040,SST01,14.664177,121.006874,15
PolePadTransformer,PPT041,SST01,14.714055,121.055823,10
PolePadTransformer,PPT042,SST01,14.717912,121.033102,14
PolePadTransformer,PPT043,SST01,14.677937,121.004514,13
PolePadTransformer,PPT044,SST01,14.678865,121.017782,10
PolePadTransformer,PPT045,SST01,14.657006,121.097244,11
PolePadTransformer,PPT046,SST01,14.67644,121.016179,15
PolePadTransformer,PPT047,SST01,14.62507,121.071116,11
PolePadTransformer,PPT048,SST01,14.649678,121.010809,10
PolePadTransformer,PPT049,SST01,14.632733,121.020256,15
PolePadTransformer,PPT050,SST01,14.622039,121.099137,13
PolePadTransformer,PPT051,SST01,14.680198,121.065989,15
PolePadTransformer,PPT052,SST01,14.630851,121.041378,13
PolePadTransformer,PPT053,SST01,14.65552,121.020407,15
PolePadTransformer,PPT054,SST01,14.690649,121.012221,12
PolePadTransformer,PPT055,SST01,14.693992,121.07804,11
PolePadTransformer,PPT056,SST01,14.627603,121.083044,15
PolePadTransformer,PPT057,SST01,14.694818,121.028321,14
PolePadTransformer,PPT058,SST01,14.718503,121.002171,10
PolePadTransformer,PPT059,SST01,14.717708,121.00917,11
PolePadTransformer,PPT060,SST01,14.716979,121.047457,10
PolePadTransformer,PPT061,SST01,14.64716,121.021878,10
PolePadTransformer,PPT062,SST01,14.607854,121.004971,15
PolePadTransformer,PPT063,SST01,14.630262,121.02245,11
PolePadTransformer,PPT064,SST01,14.647965,121.018473,14
PolePadTransformer,PPT065,SST01,14.615029,121.002795,11
PolePadTransformer,PPT066,SST01,14.717092,121.076287,15
PolePadTransformer,PPT067,SST01,14.667069,121.058088,14
PolePadTransformer,PPT068,SST01,14.664995,121.007465,14
PolePadTransformer,PPT069,SST01,14.71172,121.032276,12
PolePadTransformer,PPT070,SST01,14.655041,121.064256,12
PolePadTransformer,PPT071,SST01,14.629225,121.020493,13
PolePadTransformer,PPT072,SST01,14.604599,121.06088,11
PolePadTransformer,PPT073,SST01,14.673746,121.095209,13
PolePadTransformer,PPT074,SST01,14.718805,121.080871,15
PolePadTransformer,PPT075,SST01,14.678257,121.094198,11
PolePadTransformer,PPT076,SST01,14.701935,121.070786,11
PolePadTransformer,PPT077,SST01,14.60139,121.0179,13
PolePadTransformer,PPT078,SST01,14.649331,121.025008,14
PolePadTransformer,PPT079,SST01,14.709822,121.078174,12
PolePadTransformer,PPT080,SST01,14.608979,121.089308,11
PolePadTransformer,PPT081,SST01,14.638977,121.07889,15
PolePadTransformer,PPT082,SST01,14.718805,121.073495,14
PolePadTransformer,PPT083,SST01,14.620536,121.029961,13
PolePadTransformer,PPT084,SST01,14.704972,121.054122,14
PolePadTransformer,PPT085,SST01,14.6373,121.009857,15
PolePadTransformer,PPT086,SST01,14.665403,121.022713,13
PolePadTransformer,PPT087,SST01,14.683849,121.041776,14
PolePadTransformer,PPT088,SST01,14.618444,121.039467,15
PolePadTransformer,PPT089,SST01,14.651121,121.071887,13
PolePadTransformer,PPT090,SST01,14.636414,121.022378,10
PolePadTransformer,PPT091,SST01,14.610043,121.088461,15
PolePadTransformer,PPT092,SST01,14.614147,121.039017,10
PolePadTransformer,PPT093,SST01,14.692251,121.046177,10
PolePadTransformer,PPT094,SST01,14.645054,121.077633,10
PolePadTransformer,PPT095,SST01,14.699851,121.086365,15
PolePadTransformer,PPT096,SST01,14.626568,121.059556,14
PolePadTransformer,PPT097,SST01,14.667582,121.069485,12
