EntityType,ID,ParentID,Latitude,Longitude,NumDownstreamBuildings
SubstationTransformer,SUB-UPD-001,,14.6539,121.0700,0
PolePadTransformer,PPT-UPD-001,SUB-UPD-001,14.6535,121.0695,12
PolePadTransformer,PPT-UPD-002,SUB-UPD-001,14.6545,121.0705,15
PolePadTransformer,PPT-UPD-003,SUB-UPD-001,14.6550,121.0690,18
PolePadTransformer,PPT-UPD-004,SUB-UPD-001,14.6530,121.0710,10
PolePadTransformer,PPT-UPD-005,SUB-UPD-001,14.6555,121.0700,14
SubstationTransformer,SUB-UPD-002,,14.6580,121.0750,0
PolePadTransformer,PPT-UPD-006,SUB-UPD-002,14.6575,121.0745,16
PolePadTransformer,PPT-UPD-007,SUB-UPD-002,14.6585,121.0755,13
PolePadTransformer,PPT-UPD-008,SUB-UPD-002,14.6590,121.0740,20
PolePadTransformer,PPT-UPD-009,SUB-UPD-002,14.6570,121.0760,11
PolePadTransformer,PPT-UPD-010,SUB-UPD-002,14.6595,121.0750,17

